,pesticide,food,mrl
0,paichongding,Cereal,-2.0
1,paichongding,Rice,0.5
2,paichongding,Wheat,0.1
3,paichongding,Brown rice,0.5
4,nitenpyram,Cereal,-2.0
5,nitenpyram,Rice,0.5
6,nitenpyram,Brown rice,0.1
7,dinotefuran,Cereal,-2.0
8,dinotefuran,Rice,10.0
9,dinotefuran,Wheat,2.0
10,dinotefuran,Brown rice,5.0
11,amisulbrom,Cereal,-2.0
12,amisulbrom,Rice,0.05
13,amisulbrom,Brown rice,0.05
14,benzobicyclon,Cereal,-2.0
15,benzobicyclon,Rice,0.1
16,benzobicyclon,Brown rice,0.1
17,propanil,Cereal,-2.0
18,propanil,Rice,2.0
19,fonofos,Cereal,-2.0
20,fonofos,Rice,0.05
21,fonofos,Wheats,0.05
22,fonofos,Upland crops,0.05
23,fonofos,Coarse cereals,0.05
24,amidosulfuron,Cereal,-2.0
25,amidosulfuron,Wheats,0.01
26,cyhalofop-butyl,Cereal,-2.0
27,cyhalofop-butyl,Brown rice,0.1
28,cyhalothrin and lambda-cyhalothrin,Cereal,-2.0
29,cyhalothrin and lambda-cyhalothrin,Wheat,0.05
30,cyhalothrin and lambda-cyhalothrin,Barley,0.5
31,cyhalothrin and lambda-cyhalothrin,Oat,0.05
32,cyhalothrin and lambda-cyhalothrin,Rye,0.05
33,cyhalothrin and lambda-cyhalothrin,Triticale,0.05
34,cyhalothrin and lambda-cyhalothrin,Corn,0.02
35,cyhalothrin and lambda-cyhalothrin,Fresh corn,0.2
36,cyhalothrin and lambda-cyhalothrin,Sorghum,0.5
37,cyhalothrin and lambda-cyhalothrin,Coarse cereals,0.05
38,"2,3,6-TBA",Cereal,-2.0
39,"2,3,6-TBA",Rice,0.01
40,"2,3,6-TBA",Wheats,0.01
41,"2,3,6-TBA",Upland crops,0.01
42,"2,3,6-TBA",Coarse cereals,0.01
43,"2,3,6-TBA",Processed grains,0.01
44,bicyclopyrone,Cereal,-2.0
45,bicyclopyrone,Wheat,0.04
46,bicyclopyrone,Barley,0.04
47,bicyclopyrone,Corn,0.02
48,bicyclopyrone,Fresh corn,0.03
49,bicyclopyrone,Wheat germ,0.06
50,flusilazole,Cereal,-2.0
51,flusilazole,Rice,0.2
52,flusilazole,Wheats,0.2
53,flusilazole,Upland crops,0.2
54,megnesium phosphide,Cereal,-2.0
55,megnesium phosphide,Rice,0.05
56,rimsulfuron,Cereal,-2.0
57,rimsulfuron,Corn,0.1
58,thiocyclam,Cereal,-2.0
59,thiocyclam,Rice,0.2
60,thiosultap-monosodium,Cereal,-2.0
61,thiosultap-monosodium,Corn,0.5
62,thiosultap-monosodium,Fresh corn,0.5
63,thiosultap-monosodium,Brown rice,1.0
64,methyl bromide,Cereal,-2.0
65,methyl bromide,Rice,0.02
66,methyl bromide,Wheats,0.02
67,methyl bromide,Upland crops,0.02
68,methyl bromide,Coarse cereals,0.02
69,methyl bromide,Processed grains,0.02
70,phosfolan,Cereal,-2.0
71,phosfolan,Wheat,0.03
72,quintozene,Cereal,-2.0
73,quintozene,Wheat,0.01
74,quintozene,Barley,0.01
75,quintozene,Corn,0.01
76,quintozene,Fresh corn,0.1
77,quintozene,Coarse cereals (with the exception of pea),0.02
78,quintozene,Pea,0.01
79,cycloprate,Cereal,-2.0
80,cycloprate,Rice,0.01
81,cycloprate,Wheats,0.01
82,cycloprate,Upland crops,0.01
83,cycloprate,Coarse cereals,0.01
84,cycloprate,Processed grains,0.01
85,coumoxystrobin,Cereal,-2.0
86,coumoxystrobin,Rice,0.5
87,coumoxystrobin,Brown rice,0.2
88,florpyrauxifen-benyl,Cereal,-2.0
89,florpyrauxifen-benyl,Rice,0.5
90,florpyrauxifen-benyl,Brown rice,0.1
91,dinosam,Cereal,-2.0
92,dinosam,Rice,0.01
93,dinosam,Wheats,0.01
94,dinosam,Coarse cereals,0.01
95,dinosam,Processed grains,0.01
96,imidaclothiz,Cereal,-2.0
97,imidaclothiz,Rice,0.1
98,imidaclothiz,Wheat,0.2
99,imidaclothiz,Brown rice,0.1
100,alachlor,Cereal,-2.0
101,alachlor,Corn,0.2
102,alachlor,Brown rice,0.05
103,fenthion,Cereal,-2.0
104,fenthion,Rice,0.05
105,fenthion,Wheat,0.05
106,fenthion,Brown rice,0.05
107,kinoprene,Cereal,-2.0
108,kinoprene,Rice,0.01
109,kinoprene,Wheats,0.01
110,kinoprene,Upland crops,0.01
111,kinoprene,Coarse cereals,0.01
112,kinoprene,Processed grains,0.01
113,niclosamide-olamine,Cereal,-2.0
114,niclosamide-olamine,Rice,2.0
115,niclosamide-olamine,Brown rice,0.5
116,flubendiamide,Cereal,-2.0
117,flubendiamide,Rice,0.01
118,flubendiamide,Corn,0.02
119,flubendiamide,Coarse cereals,1.0
120,flubendiamide,Brown rice,0.01
121,clopyralid,Cereal,-2.0
122,clopyralid,Wheat,2.0
123,clopyralid,Corn,1.0
124,saflufenacil,Cereal,-2.0
125,saflufenacil,"Cereal (with the exception of barley, coarse cereals)",0.01
126,saflufenacil,Barley,1.0
127,saflufenacil,Coarse cereals,0.3
128,cadusafos,Cereal,-2.0
129,cadusafos,Rice,0.02
130,cadusafos,Wheats,0.02
131,cadusafos,Upland crops,0.02
132,cadusafos,Coarse cereals,0.02
133,propamocarb and propamocarb hydrochloride,Cereal,-2.0
134,propamocarb and propamocarb hydrochloride,Rice,0.2
135,propamocarb and propamocarb hydrochloride,Brown rice,0.1
136,pyridaben,Cereal,-2.0
137,pyridaben,Rice,1.0
138,pyridaben,Brown rice,0.1
139,aluminium phosphide,Cereal,-2.0
140,aluminium phosphide,Rice,0.05
141,aluminium phosphide,Wheats,0.05
142,aluminium phosphide,Upland crops,0.05
143,aluminium phosphide,Coarse cereals,0.05
144,aluminium phosphide,Processed grains,0.05
145,triforine,Cereal,-2.0
146,triforine,Rice,0.1
147,triforine,Wheats,0.1
148,triforine,Upland crops,0.1
149,diquat,Cereal,-2.0
150,diquat,Wheat,2.0
151,diquat,Oat,2.0
152,diquat,Corn,0.05
153,diquat,Sorghum,2.0
154,diquat,Coarse cereals (with the exception of pea),0.2
155,diquat,Pea,0.3
156,diquat,Wheat flour,0.5
157,diquat,Whole wheats flour,2.0
158,diquat,Brown rice,1.0
159,carbosulfan,Cereal,-2.0
160,carbosulfan,Rice,0.5
161,carbosulfan,Wheat,0.1
162,carbosulfan,Corn,0.1
163,carbosulfan,Sorghum,0.1
164,carbosulfan,Millet,0.1
165,carbosulfan,Brown rice,0.5
166,fluxapyroxad,Cereal,-2.0
167,fluxapyroxad,Rice,5.0
168,fluxapyroxad,Wheat,0.3
169,fluxapyroxad,Barley,2.0
170,fluxapyroxad,Oat,2.0
171,fluxapyroxad,Rye,0.3
172,fluxapyroxad,Triticale,0.3
173,fluxapyroxad,Corn,0.05
174,fluxapyroxad,Fresh corn,0.05
175,fluxapyroxad,Sorghum,0.7
176,fluxapyroxad,Coarse cereals,0.3
177,fluxapyroxad,Pea,0.4
178,fluxapyroxad,Lentils,0.4
179,fluxapyroxad,Chickpeas,0.4
180,fluxapyroxad,Brown rice,1.0
181,thifensulfuron-methyl,Cereal,-2.0
182,thifensulfuron-methyl,Wheat,0.05
183,thifensulfuron-methyl,Corn,0.05
184,triafamone,Cereal,-2.0
185,triafamone,Rice,0.05
186,triafamone,Brown rice,0.05
187,monosulfuron-ester,Cereal,-2.0
188,monosulfuron-ester,Wheat,0.1
189,triallate,Cereal,-2.0
190,triallate,Wheat,0.05
191,procymidone,Cereal,-2.0
192,procymidone,Fresh corn,5.0
193,tebuconazole,Cereal,-2.0
194,tebuconazole,Wheat,0.05
195,tebuconazole,Barley,2.0
196,tebuconazole,Oat,2.0
197,tebuconazole,Rye,0.15
198,tebuconazole,Triticale,0.15
199,tebuconazole,Sorghum,0.05
200,tebuconazole,Coarse cereals,0.3
201,tebuconazole,Brown rice,0.5
202,terbuthylazine,Cereal,-2.0
203,terbuthylazine,Wheat,0.05
204,terbuthylazine,Corn,0.1
205,terbuthylazine,Fresh corn,0.1
206,methidathion,Cereal,-2.0
207,methidathion,Rice,0.05
208,methidathion,Wheats,0.05
209,methidathion,Upland crops,0.05
210,methidathion,Coarse cereals,0.05
211,methidathion,Processed grains,0.05
212,diflubenzuron,Cereal,-2.0
213,diflubenzuron,Rice,0.01
214,diflubenzuron,Wheat,0.2
215,diflubenzuron,Barley,0.05
216,diflubenzuron,Oat,0.05
217,diflubenzuron,Triticale,0.05
218,diflubenzuron,Corn,0.2
219,dufulin,Cereal,-2.0
220,dufulin,Rice,5.0
221,dufulin,Brown rice,1.0
222,metazosulfuron,Cereal,-2.0
223,metazosulfuron,Rice,0.05
224,metazosulfuron,Brown rice,0.05
225,flufiprole,Cereal,-2.0
226,flufiprole,Rice,0.1
227,flufiprole,Brown rice,0.02
228,flumetsulam,Cereal,-2.0
229,flumetsulam,Wheat,0.05
230,flumetsulam,Corn,0.05
231,imazethapyr,Cereal,-2.0
232,imazethapyr,Rice,0.1
233,imazethapyr,Corn,0.1
234,imazethapyr,Lentils,0.1
235,fipronil,Cereal,-2.0
236,fipronil,Wheat,0.002
237,fipronil,Barley,0.002
238,fipronil,Oat,0.002
239,fipronil,Rye,0.002
240,fipronil,Triticale,0.002
241,fipronil,Corn,0.1
242,fipronil,Fresh corn,0.1
243,fipronil,Brown rice,0.02
244,carbaryl,Cereal,-2.0
245,carbaryl,Corn,0.02
246,carbaryl,Fresh corn,0.02
247,carbaryl,Rice,1.0
248,cyproconazole,Cereal,-2.0
249,cyproconazole,Rice,0.08
250,cyproconazole,Wheat,0.2
251,cyproconazole,Corn,0.01
252,cyproconazole,Sorghum,0.08
253,cyproconazole,Millet,0.08
254,cyproconazole,Coarse cereals,0.02
255,paclobutrazol,Cereal,-2.0
256,paclobutrazol,Rice,0.5
257,paclobutrazol,Wheat,0.5
258,benzovindiflupyr,Cereal,-2.0
259,benzovindiflupyr,Wheat,0.1
260,benzovindiflupyr,Barley,1.0
261,benzovindiflupyr,Oat,1.0
262,benzovindiflupyr,Rye,0.1
263,benzovindiflupyr,Fresh corn,0.01
264,tricyclazole,Cereal,-2.0
265,tricyclazole,Rice,5.0
266,tricyclazole,Brown rice,0.5
267,diflufenican,Cereal,-2.0
268,diflufenican,Rice,0.05
269,diflufenican,Wheat,0.05
270,diflufenican,Brown rice,0.05
271,phenazino-1-carboxylic acid,Cereal,-2.0
272,phenazino-1-carboxylic acid,Rice,0.1
273,phenazino-1-carboxylic acid,Wheat,0.05
274,phenazino-1-carboxylic acid,Brown rice,0.1
275,"2,4-D dimethyl amine salt",Cereal,-2.0
276,"2,4-D dimethyl amine salt",Rice,0.05
277,"2,4-D dimethyl amine salt",Wheat,2.0
278,"2,4-D dimethyl amine salt",Corn,0.1
279,"2,4-D dimethyl amine salt",Fresh corn,0.1
280,"2,4-D dimethyl amine salt",Brown rice,0.05
281,binapacryl,Cereal,-2.0
282,binapacryl,Rice,0.05
283,binapacryl,Wheats,0.05
284,binapacryl,Upland crops,0.05
285,binapacryl,Coarse cereals,0.05
286,binapacryl,Processed grains,0.05
287,metsulfuron-methyl,Cereal,-2.0
288,metsulfuron-methyl,Rice,0.01
289,metsulfuron-methyl,Wheats,0.01
290,metsulfuron-methyl,Upland crops,0.01
291,metsulfuron-methyl,Coarse cereals,0.01
292,metsulfuron-methyl,Processed grains,0.01
293,trifluralin,Cereal,-2.0
294,trifluralin,Corn,0.05
295,fluorodifen,Cereal,-2.0
296,fluorodifen,Rice,0.02
297,fluorodifen,Wheats,0.02
298,fluorodifen,Upland crops,0.02
299,fluorodifen,Coarse cereals,0.02
300,fluorodifen,Processed grains,0.02
301,amitraz,Cereal,-2.0
302,amitraz,Fresh corn,0.5
303,sulcotrione,Cereal,-2.0
304,sulcotrione,Corn,0.05
305,diethyl aminoethyl hexanoate,Cereal,-2.0
306,diethyl aminoethyl hexanoate,Corn,0.2
307,cinosulfuron,Cereal,-2.0
308,cinosulfuron,Brown rice,0.1
309,fenamiphos,Cereal,-2.0
310,fenamiphos,Rice,0.02
311,fenamiphos,Brown rice,0.02
312,fenamiphos,Wheats,0.02
313,fenamiphos,Upland crops,0.02
314,fenamiphos,Coarse cereals,0.02
315,simetryn,Cereal,-2.0
316,simetryn,Brown rice,0.05
317,carbofuran,Cereal,-2.0
318,carbofuran,Brown rice,0.1
319,carbofuran,Wheats,0.05
320,carbofuran,Coarse cereals,0.05
321,hexachlorophene,Cereal,-2.0
322,hexachlorophene,Rice,0.01
323,hexachlorophene,Wheats,0.01
324,hexachlorophene,Upland crops,0.01
325,hexachlorophene,Coarse cereals,0.01
326,hexachlorophene,Processed grains,0.01
327,ethephon,Cereal,-2.0
328,ethephon,Wheat,1.0
329,ethephon,Barley,1.0
330,ethephon,Rye,1.0
331,ethephon,Corn,0.5
332,ethephon,Wheat germ,1.0
333,flucetosulfuron,Cereal,-2.0
334,flucetosulfuron,Brown rice,0.05
335,yishijing,Cereal,-2.0
336,yishijing,Rice,20.0
337,yishijing,Brown rice,20.0
338,carbendazim,Cereal,-2.0
339,carbendazim,Wheat,0.5
340,carbendazim,Barley,0.5
341,carbendazim,Rye,0.05
342,carbendazim,Corn,0.5
343,carbendazim,Coarse cereals,0.5
344,carbendazim,Mung bean,1.0
345,carbendazim,Rice,2.0
346,indoxacarb,Cereal,-2.0
347,indoxacarb,Rice,0.1
348,indoxacarb,Mung bean,0.2
349,indoxacarb,Chickpeas,0.2
350,indoxacarb,Cowpea,0.1
351,indoxacarb,Brown rice,0.1
352,thiacloprid,Cereal,-2.0
353,thiacloprid,Rice,10.0
354,thiacloprid,Wheat,0.1
355,thiacloprid,Brown rice,0.2
356,monosulfuron,Cereal,-2.0
357,monosulfuron,Wheat,0.1
358,monosulfuron,Millet,0.1
359,blasticidin-S,Cereal,-2.0
360,blasticidin-S,Brown rice,0.1
361,paraquat,Cereal,-2.0
362,paraquat,Rice,0.05
363,paraquat,Corn,0.1
364,paraquat,Sorghum,0.03
365,paraquat,Coarse cereals,0.5
366,paraquat,Wheat flour,0.5
367,halauxifen-methyl,Cereal,-2.0
368,halauxifen-methyl,Wheat,0.02
369,fenobucarb,Cereal,-2.0
370,fenobucarb,Rice,0.5
371,chlorbenzuron,Cereal,-2.0
372,chlorbenzuron,Wheat,3.0
373,chlorbenzuron,Millet,3.0
374,picloram-tris (2-hydroxypropyl) ammonium,Cereal,-2.0
375,picloram-tris (2-hydroxypropyl) ammonium,Wheat,0.2
376,florasulam,Cereal,-2.0
377,florasulam,Wheat,0.01
378,florasulam,Corn,0.02
379,florasulam,Fresh corn,0.02
380,imazalil,Cereal,-2.0
381,imazalil,Wheat,0.01
382,pentoxazone,Cereal,-2.0
383,pentoxazone,Rice,0.05
384,pentoxazone,Brown rice,0.05
385,fenaminosulf,Cereal,-2.0
386,fenaminosulf,Rice,0.5
387,fenaminosulf,Brown rice,0.5
388,tribenuron-methyl,Cereal,-2.0
389,tribenuron-methyl,Wheat,0.05
390,difenzoquat,Cereal,-2.0
391,difenzoquat,Wheats,0.1
392,chloropicrin,Cereal,-2.0
393,chloropicrin,Rice,0.1
394,chloropicrin,Wheats,0.1
395,chloropicrin,Upland crops,0.1
396,chloropicrin,Coarse cereals,0.1
397,mepiquat chloride,Cereal,-2.0
398,mepiquat chloride,Wheat,0.5
399,silthiofam,Cereal,-2.0
400,silthiofam,Wheat,0.01
401,sodium nitrophenolate,Cereal,-2.0
402,sodium nitrophenolate,Wheat,0.2
403,imazamox,Cereal,-2.0
404,imazamox,Rice,0.01
405,imazamox,Wheat,0.05
406,imazamox,Coarse cereals,0.05
407,imazamox,Lentils,0.2
408,imazamox,Wheat germ,0.1
409,pirimicarb,Cereal,-2.0
410,pirimicarb,Rice,0.05
411,pirimicarb,Wheat,0.05
412,pirimicarb,Barley,0.05
413,pirimicarb,Oat,0.05
414,pirimicarb,Rye,0.05
415,pirimicarb,Upland crops,0.05
416,pirimicarb,Coarse cereals,0.2
417,imazapyr,Cereal,-2.0
418,imazapyr,Wheat,0.05
419,imazapyr,Corn,0.05
420,imazapyr,Lentils,0.3
421,trinexapac-ethyl,Cereal,-2.0
422,trinexapac-ethyl,Wheat,0.05
423,trinexapac-ethyl,Barley,3.0
424,trinexapac-ethyl,Oat,3.0
425,trinexapac-ethyl,Triticale,3.0
426,"2,4-D-ethylhexyl",Cereal,-2.0
427,"2,4-D-ethylhexyl",Wheat,2.0
428,"2,4-D-ethylhexyl",Corn,0.1
429,"2,4-D-ethylhexyl",Fresh corn,0.1
430,methoprene,Cereal,-2.0
431,methoprene,Rice,10.0
432,metaldehyde,Cereal,-2.0
433,metaldehyde,Corn,0.2
434,metaldehyde,Fresh corn,0.2
435,metaldehyde,Brown rice,0.2
436,chlormequat,Cereal,-2.0
437,chlormequat,Wheat,5.0
438,chlormequat,Barley,2.0
439,chlormequat,Oat,10.0
440,chlormequat,Rye,3.0
441,chlormequat,Triticale,3.0
442,chlormequat,Corn,5.0
443,aminopyralid,Cereal,-2.0
444,aminopyralid,Wheat,0.1
445,aminopyralid,Barley,0.1
446,aminopyralid,Oat,0.1
447,aminopyralid,Triticale,0.1
448,phosmet,Cereal,-2.0
449,phosmet,Rice,0.5
450,phosmet,Corn,0.05
451,isofenphos-methyl,Cereal,-2.0
452,isofenphos-methyl,Wheats,0.02
453,isofenphos-methyl,Upland crops,0.02
454,isofenphos-methyl,Corn,0.02
455,isofenphos-methyl,Coarse cereals,0.02
456,isofenphos-methyl,Brown rice,0.02
457,parathion,Cereal,-2.0
458,parathion,Rice,0.1
459,parathion,Wheats,0.1
460,parathion,Upland crops,0.1
461,parathion,Coarse cereals,0.1
462,dimethenamid-P,Cereal,-2.0
463,dimethenamid-P,Corn,0.01
464,dimethenamid-P,Sorghum,0.01
465,dimethenamid-P,Coarse cereals,0.01
466,oxadiargyl,Cereal,-2.0
467,oxadiargyl,Brown rice,0.02
468,sedaxane,Cereal,-2.0
469,sedaxane,Rice,0.01
470,sedaxane,Wheat,0.01
471,sedaxane,Barley,0.01
472,sedaxane,Oat,0.01
473,sedaxane,Rye,0.01
474,sedaxane,Triticale,0.01
475,zineb,cereals,-2.0
476,zineb,cereal,-1.0
477,ethiprole,Cereal,-2.0
478,ethiprole,Brown rice,0.2
479,bentazone,Cereal,-2.0
480,bentazone,Rice,0.1
481,bentazone,Wheats,0.1
482,bentazone,Corn,0.2
483,bentazone,Sorghum,0.1
484,bentazone,Millet,0.01
485,bentazone,Coarse cereals,0.05
486,bromoxynil octanoate,Cereal,-2.0
487,bromoxynil octanoate,Wheat,0.1
488,bromoxynil octanoate,Corn,0.05
489,permethrin,Cereal,-2.0
490,permethrin,Rice,2.0
491,permethrin,Wheats,2.0
492,permethrin,Upland crops,2.0
493,permethrin,Coarse cereals,2.0
494,permethrin,Wheat flour,0.5
495,permethrin,Whole wheats flour,2.0
496,permethrin,Wheat germ,2.0
497,pretilachlor,Cereal,-2.0
498,pretilachlor,Wheat,0.05
499,pretilachlor,Rice,0.1
500,fluazifop and fluazifop-P-butyl,Cereal,-2.0
501,fluazifop and fluazifop-P-butyl,Pea,3.0
502,isoprocarb,Cereal,-2.0
503,isoprocarb,Wheat,0.2
504,isoprocarb,Rice,0.2
505,clethodim,Cereal,-2.0
506,clethodim,Coarse cereals,2.0
507,cartap,Cereal,-2.0
508,cartap,Rice,0.1
509,cartap,Brown rice,0.1
510,glufosinate-ammonium,Cereal,-2.0
511,glufosinate-ammonium,Rice,0.9
512,glufosinate-ammonium,Corn,0.1
513,glufosinate-ammonium,Pea,0.05
514,thiamethoxam,Cereal,-2.0
515,thiamethoxam,Wheat,0.1
516,thiamethoxam,Barley,0.4
517,thiamethoxam,Corn,0.05
518,thiamethoxam,Fresh corn,0.05
519,thiamethoxam,Sorghum,0.5
520,thiamethoxam,Coarse cereals,0.04
521,thiamethoxam,Brown rice,0.1
522,thiamethoxam,Mung bean,5.0
523,simazine,Cereal,-2.0
524,simazine,Corn,0.1
525,phorate,Cereal,-2.0
526,phorate,Rice,0.05
527,phorate,Wheat,0.02
528,phorate,Barley,0.02
529,phorate,Oat,0.02
530,phorate,Rye,0.02
531,phorate,Triticale,0.02
532,phorate,Upland crops (with the exception of corn),0.02
533,phorate,Corn,0.05
534,phorate,Coarse cereals,0.05
535,phorate,Brown rice,0.05
536,phthalide,Cereal,-2.0
537,phthalide,Rice,0.5
538,phthalide,Brown rice,1.0
539,erbon,Cereal,-2.0
540,erbon,Rice,0.05
541,erbon,Wheats,0.05
542,erbon,Upland crops,0.05
543,erbon,Coarse cereals,0.05
544,erbon,Processed grains,0.05
545,tolclofos-methyl,Cereal,-2.0
546,tolclofos-methyl,Brown rice,0.05
547,propyrisulfuron,Cereal,-2.0
548,propyrisulfuron,Rice,0.05
549,propyrisulfuron,Brown rice,0.05
550,prohexadione-calcium,Cereal,-2.0
551,prohexadione-calcium,Rice,0.05
552,prohexadione-calcium,Brown rice,0.05
553,flonicamid,Cereal,-2.0
554,flonicamid,Rice,0.5
555,flonicamid,Wheat,0.08
556,flonicamid,Corn,0.7
557,flonicamid,Brown rice,0.1
558,mepronil,Cereal,-2.0
559,mepronil,Brown rice,0.2
560,flumioxazin,Cereal,-2.0
561,flumioxazin,Wheat,0.4
562,flumioxazin,Corn,0.02
563,flumioxazin,Mung bean,0.07
564,flumioxazin,Pea,0.07
565,flumioxazin,Adzuki,0.07
566,flumioxazin,Lentils,0.07
567,flumioxazin,Chickpeas,0.07
568,malathion,Cereal,-2.0
569,malathion,Rice,8.0
570,malathion,Wheats,8.0
571,malathion,"Upland crops (with the exception of fresh maize, sorghum)",8.0
572,malathion,Fresh corn,0.5
573,malathion,Sorghum,3.0
574,malathion,Coarse cereals,8.0
575,malathion,Rice,0.1
576,malathion,Brown rice,1.0
577,iprobenfos,Cereal,-2.0
578,iprobenfos,Brown rice,0.5
579,terbufos,Cereal,-2.0
580,terbufos,Rice,0.01
581,terbufos,Wheats,0.01
582,terbufos,Upland crops,0.01
583,terbufos,Coarse cereals,0.01
584,phenthoate,Cereal,-2.0
585,phenthoate,Rice,0.05
586,phenthoate,Brown rice,0.2
587,propisochlor,Cereal,-2.0
588,propisochlor,Rice,0.05
589,propisochlor,Corn,0.1
590,propisochlor,Brown rice,0.05
591,picloram,Cereal,-2.0
592,picloram,Wheat,0.2
593,chlorantraniliprole,Cereal,-2.0
594,chlorantraniliprole,Rice,0.5
595,chlorantraniliprole,Wheats,0.02
596,chlorantraniliprole,Oat,3.0
597,chlorantraniliprole,Upland crops,0.02
598,chlorantraniliprole,Sorghum,5.0
599,chlorantraniliprole,Coarse cereals,0.02
600,chlorantraniliprole,Adzuki,0.5
