,pesticide,food,mrl
601,chlorantraniliprole,"Processed grains (with the exception of rice, brown rice)",0.02
602,chlorantraniliprole,Rice,0.04
603,chlorantraniliprole,Brown rice,0.5
604,acetamiprid,Cereal,-2.0
605,acetamiprid,Wheat,0.5
606,acetamiprid,Fresh corn,0.01
607,acetamiprid,Pea,0.2
608,acetamiprid,Broad bean,0.5
609,acetamiprid,Brown rice,0.5
610,triasulfuron,Cereal,-2.0
611,triasulfuron,Wheat,0.05
612,fomesafen,Cereal,-2.0
613,fomesafen,Mung bean,0.05
614,quinoxyfen,Cereal,-2.0
615,quinoxyfen,Wheat,0.01
616,quinoxyfen,Barley,0.01
617,thiodicarb,Cereal,-2.0
618,thiodicarb,Corn,0.05
619,thiodicarb,Fresh corn,0.05
620,flutriafol,Cereal,-2.0
621,flutriafol,Rice,1.0
622,flutriafol,Wheat,0.5
623,flutriafol,Sorghum,1.5
624,flutriafol,Brown rice,0.5
625,oxadiazon,Cereal,-2.0
626,oxadiazon,Rice,0.05
627,oxadiazon,Brown rice,0.05
628,chlorpyrifos,Cereal,-2.0
629,chlorpyrifos,Rice,0.5
630,chlorpyrifos,Wheat,0.5
631,chlorpyrifos,Corn,0.05
632,chlorpyrifos,Mung bean,0.7
633,chlorpyrifos,Wheat flour,0.1
634,molinate,Cereal,-2.0
635,molinate,Rice,0.1
636,molinate,Brown rice,0.1
637,thiobencarb,Cereal,-2.0
638,thiobencarb,Brown rice,0.2
639,probenazole,Cereal,-2.0
640,probenazole,Rice,1.0
641,probenazole,Brown rice,1.0
642,ethametsulfuron,Cereal,-2.0
643,ethametsulfuron,Rice,0.01
644,ethametsulfuron,Wheats,0.01
645,ethametsulfuron,Upland crops,0.01
646,ethametsulfuron,Coarse cereals,0.01
647,ethametsulfuron,Processed grains,0.01
648,diniconazole,Cereal,-2.0
649,diniconazole,Rice,0.05
650,diniconazole,Wheat,0.2
651,diniconazole,Corn,0.05
652,diniconazole,Sorghum,0.05
653,diniconazole,Millet,0.05
654,diniconazole,Broomcorn,0.05
655,penoxsulam,Cereal,-2.0
656,penoxsulam,Rice,0.02
657,penoxsulam,Brown rice,0.02
658,penthiopyrad,Cereal,-2.0
659,penthiopyrad,Wheat,0.1
660,penthiopyrad,Barley,0.2
661,penthiopyrad,Oat,0.2
662,penthiopyrad,Rye,0.1
663,penthiopyrad,Triticale,0.1
664,penthiopyrad,Corn,0.01
665,penthiopyrad,Sorghum,0.8
666,penthiopyrad,Millet,0.8
667,penthiopyrad,Coarse cereals,3.0
668,penthiopyrad,Corn flour,0.05
669,penthiopyrad,Wheat germ,0.2
670,propachlor,Cereal,-2.0
671,propachlor,Rice,0.05
672,propachlor,Brown rice,0.05
673,disulfoton,Cereal,-2.0
674,disulfoton,Oat,0.02
675,disulfoton,Corn,0.02
676,disulfoton,Fresh corn,0.02
677,disulfoton,Pea,0.02
678,thiencarbazone-methyl,Cereal,-2.0
679,thiencarbazone-methyl,Corn,0.05
680,thiencarbazone-methyl,Fresh corn,0.05
681,acequincyl,Cereal,-2.0
682,acequincyl,Rice,0.01
683,acequincyl,Wheats,0.01
684,acequincyl,Upland crops,0.01
685,acequincyl,Coarse cereals,0.01
686,acequincyl,Processed grains,0.01
687,cyclosulfamuron,Cereal,-2.0
688,cyclosulfamuron,Brown rice,0.1
689,dinex,Cereal,-2.0
690,dinex,Rice,0.01
691,dinex,Wheats,0.01
692,dinex,Upland crops,0.01
693,dinex,Coarse cereals,0.01
694,dinex,Processed grains,0.01
695,myclobutanil,Cereal,-2.0
696,myclobutanil,Wheats,0.1
697,myclobutanil,Corn,0.02
698,myclobutanil,Sorghum,0.02
699,myclobutanil,Millet,0.02
700,flufenacet,Cereal,-2.0
701,flufenacet,Wheat,0.5
702,flufenacet,Corn,0.05
703,flufenacet,Fresh corn,0.05
704,MCPA (sodium),Cereal,-2.0
705,MCPA (sodium),Wheat,0.1
706,MCPA (sodium),Barley,0.2
707,MCPA (sodium),Oat,0.2
708,MCPA (sodium),Rye,0.2
709,MCPA (sodium),Triticale,0.2
710,MCPA (sodium),Corn,0.05
711,MCPA (sodium),Sorghum,0.05
712,MCPA (sodium),Pea,0.01
713,MCPA (sodium),Brown rice,0.05
714,metconazole,Cereal,-2.0
715,metconazole,Wheat,0.1
716,nicosulfuron,Cereal,-2.0
717,nicosulfuron,Corn,0.1
718,acephate,Cereal,-2.0
719,acephate,Wheat,0.2
720,acephate,Corn,0.2
721,acephate,Brown rice,1.0
722,metiram,Cereal,-2.0
723,metiram,Wheat,1.0
724,metiram,Barley,1.0
725,piperonyl butoxide,Cereal,-2.0
726,piperonyl butoxide,Rice,30.0
727,piperonyl butoxide,Wheats,30.0
728,piperonyl butoxide,Upland crops,30.0
729,piperonyl butoxide,Coarse cereals,0.2
730,piperonyl butoxide,Wheat flour,10.0
731,piperonyl butoxide,Whole wheats flour,30.0
732,piperonyl butoxide,Wheat germ,90.0
733,pendimethalin,Cereal,-2.0
734,pendimethalin,Rice,0.2
735,pendimethalin,Corn,0.1
736,pendimethalin,Coarse cereals,0.05
737,pendimethalin,Brown rice,0.1
738,cyflufenamid,Cereal,-2.0
739,cyflufenamid,Wheat,0.05
740,atrazine,Cereal,-2.0
741,atrazine,Corn,0.05
742,atrazine,Sorghum,0.05
743,atrazine,Broomcorn,0.05
744,spirotetramat,Cereal,-2.0
745,spirotetramat,Fresh corn,1.5
746,spirotetramat,Coarse cereals,2.0
747,bixafen,Cereal,-2.0
748,bixafen,Wheat,0.05
749,bixafen,Barley,0.4
750,bixafen,Oat,0.4
751,bixafen,Rye,0.05
752,spinosad,Cereal,-2.0
753,spinosad,Rice,1.0
754,spinosad,Wheats,1.0
755,spinosad,Upland crops,1.0
756,spinosad,Brown rice,0.5
757,prothioconazole,Cereal,-2.0
758,prothioconazole,Wheat,0.1
759,prothioconazole,Barley,0.2
760,prothioconazole,Oat,0.05
761,prothioconazole,Rye,0.05
762,prothioconazole,Triticale,0.05
763,prothioconazole,Corn,0.1
764,prothioconazole,Coarse cereals,1.0
765,omethoate,Cereal,-2.0
766,omethoate,Wheats,0.02
767,omethoate,Coarse cereals,0.05
768,omethoate,Upland crops,0.05
769,difenoconazole,Cereal,-2.0
770,difenoconazole,Wheat,0.1
771,difenoconazole,Corn,0.1
772,difenoconazole,Sorghum,0.5
773,difenoconazole,Coarse cereals,0.02
774,difenoconazole,Brown rice,0.5
775,tralkoxydim,Cereal,-2.0
776,tralkoxydim,Wheat,0.02
777,bioresmethrin,Cereal,-2.0
778,bioresmethrin,Wheat,1.0
779,bioresmethrin,Wheat flour,1.0
780,bioresmethrin,Whole wheats flour,1.0
781,bioresmethrin,Wheat germ,3.0
782,thiram,Cereal,-2.0
783,thiram,Rice,2.0
784,thiram,Wheat,1.0
785,thiram,Barley,1.0
786,thiram,Oat,1.0
787,thiram,Rye,1.0
788,thiram,Triticale,1.0
789,thiram,Corn,0.1
790,thiram,Mung bean,0.2
791,thiram,Brown rice,1.0
792,boscalid,Cereal,-2.0
793,boscalid,Rice,0.1
794,boscalid,Wheat,0.5
795,boscalid,Barley,0.5
796,boscalid,Oat,0.5
797,boscalid,Rye,0.5
798,boscalid,Corn,0.1
799,boscalid,Sorghum,0.1
800,boscalid,Millet,0.1
801,boscalid,Coarse cereals,3.0
802,MCPA-dimethylamine salt,Cereal,-2.0
803,MCPA-dimethylamine salt,Rice,0.1
804,MCPA-dimethylamine salt,Wheat,0.1
805,MCPA-dimethylamine salt,Corn,0.05
806,MCPA-dimethylamine salt,Fresh corn,0.05
807,MCPA-dimethylamine salt,Brown rice,0.05
808,amicarbazone,Cereal,-2.0
809,amicarbazone,Corn,0.05
810,amicarbazone,Fresh corn,0.05
811,carboxin,Cereal,-2.0
812,carboxin,Wheat,0.05
813,carboxin,Corn,0.2
814,carboxin,Brown rice,0.2
815,metalaxyl and metalaxyl-M,Cereal,-2.0
816,metalaxyl and metalaxyl-M,Wheats,0.05
817,metalaxyl and metalaxyl-M,Upland crops,0.05
818,metalaxyl and metalaxyl-M,Brown rice,0.1
819,triclopyricarb,Cereal,-2.0
820,triclopyricarb,Rice,5.0
821,triclopyricarb,Wheat,0.2
822,triclopyricarb,Brown rice,2.0
823,pyriminobac-methyl,Cereal,-2.0
824,pyriminobac-methyl,Rice,0.2
825,pyriminobac-methyl,Brown rice,0.1
826,mevinphos,Cereal,-2.0
827,mevinphos,Rice,0.02
828,mevinphos,Wheats,0.02
829,mevinphos,Upland crops,0.02
830,mevinphos,Coarse cereals,0.02
831,mevinphos,Processed grains,0.02
832,pyraflufen-ethyl,Cereal,-2.0
833,pyraflufen-ethyl,Wheat,0.03
834,trichlorfon,Cereal,-2.0
835,trichlorfon,Rice,0.1
836,trichlorfon,Wheat,0.1
837,trichlorfon,Brown rice,0.1
838,triadimefon,Cereal,-2.0
839,triadimefon,Rice,0.5
840,triadimefon,Wheat,0.2
841,triadimefon,Barley,0.2
842,triadimefon,Oat,0.2
843,triadimefon,Rye,0.2
844,triadimefon,Triticale,0.2
845,triadimefon,Corn,0.5
846,isazofos,Cereal,-2.0
847,isazofos,Brown rice,0.05
848,pyriftalid,Cereal,-2.0
849,pyriftalid,Rice,0.1
850,pyriftalid,Brown rice,0.1
851,bitertanol,Cereal,-2.0
852,bitertanol,Wheat,0.05
853,bitertanol,Barley,0.05
854,bitertanol,Oat,0.05
855,bitertanol,Rye,0.05
856,bitertanol,Triticale,0.05
857,fenpropathrin,Cereal,-2.0
858,fenpropathrin,Wheat,0.1
859,pyraclonil,Cereal,-2.0
860,pyraclonil,Rice,0.3
861,pyraclonil,Brown rice,0.3
862,cyprodinil,Cereal,-2.0
863,cyprodinil,Rice,0.2
864,cyprodinil,Wheat,0.5
865,cyprodinil,Barley,3.0
866,cyprodinil,Coarse cereals,0.2
867,cyprodinil,Brown rice,0.2
868,isocarbophos,Cereal,-2.0
869,isocarbophos,Rice,0.05
870,isocarbophos,Wheats,0.05
871,isocarbophos,Upland crops,0.05
872,isocarbophos,Coarse cereals,0.05
873,isocarbophos,Brown rice,0.05
874,dichlobenil,Cereal,-2.0
875,dichlobenil,Rice,0.01
876,dichlobenil,Wheats,0.01
877,dichlobenil,Upland crops,0.01
878,dichlobenil,Coarse cereals,0.01
879,deltamethrin,Cereal,-2.0
880,deltamethrin,Rice,0.5
881,deltamethrin,Wheats,0.5
882,deltamethrin,Upland crops (with the exception of Fresh corn),0.5
883,deltamethrin,Fresh corn,0.2
884,deltamethrin,"Coarse cereals (with the exception of pea, Lentils)",0.5
885,deltamethrin,Pea,1.0
886,deltamethrin,Lentils,1.0
887,deltamethrin,Processed grains (with the exception of Wheat flour),0.5
888,deltamethrin,Wheat flour,0.2
889,bipyrazone,Cereal,-2.0
890,bipyrazone,Wheat,0.02
891,benziothiazolinone,Cereal,-2.0
892,benziothiazolinone,Rice,1.0
893,benziothiazolinone,Wheat,0.2
894,benziothiazolinone,Brown rice,0.5
895,bifenazate,Cereal,-2.0
896,bifenazate,Coarse cereals,0.3
897,bifenazate,Mung bean,0.5
898,fenaminstrobin,Cereal,-2.0
899,fenaminstrobin,Rice,1.0
900,fenaminstrobin,Wheat,0.1
901,fenaminstrobin,Brown rice,1.0
902,pyraclostrobin,Cereal,-2.0
903,pyraclostrobin,Rice,5.0
904,pyraclostrobin,Wheat,0.2
905,pyraclostrobin,Barley,1.0
906,pyraclostrobin,Oat,1.0
907,pyraclostrobin,Rye,0.2
908,pyraclostrobin,Triticale,0.2
909,pyraclostrobin,Corn,0.05
910,pyraclostrobin,Fresh corn,0.05
911,pyraclostrobin,Sorghum,0.5
912,pyraclostrobin,Coarse cereals,0.2
913,pyraclostrobin,Mung bean,0.5
914,pyraclostrobin,Pea,0.3
915,pyraclostrobin,Lentils,0.5
916,pyraclostrobin,Brown rice,1.0
917,tetrachlorvinphos,Cereal,-2.0
918,tetrachlorvinphos,Rice,0.01
919,tetrachlorvinphos,Wheats,0.01
920,tetrachlorvinphos,Upland crops,0.01
921,tetrachlorvinphos,Coarse cereals,0.01
922,tetrachlorvinphos,Processed grains,0.01
923,prometryn,Cereal,-2.0
924,prometryn,Rice,0.05
925,prometryn,Corn,0.02
926,prometryn,Fresh corn,0.02
927,prometryn,Millet,0.05
928,prometryn,Brown rice,0.05
929,dalapon,Cereal,-2.0
930,dalapon,Rice,0.01
931,dalapon,Wheats,0.01
932,dalapon,Upland crops,0.01
933,dalapon,Coarse cereals,0.01
934,dalapon,Processed grains,0.01
935,"2,4-D and 2,4-D Na",Cereal,-2.0
936,"2,4-D and 2,4-D Na",Wheat,2.0
937,"2,4-D and 2,4-D Na",Rye,2.0
938,"2,4-D and 2,4-D Na",Corn,0.1
939,"2,4-D and 2,4-D Na",Fresh corn,0.1
940,"2,4-D and 2,4-D Na",Sorghum,0.01
941,emamectin benzoate,Cereal,-2.0
942,emamectin benzoate,Oat,0.02
943,emamectin benzoate,Corn,0.05
944,emamectin benzoate,Fresh corn,0.05
945,emamectin benzoate,Sorghum,0.02
946,emamectin benzoate,Brown rice,0.02
947,cyantraniliprole,Cereal,-2.0
948,cyantraniliprole,Rice,0.2
949,cyantraniliprole,Brown rice,0.2
950,cyantraniliprole,Coarse cereals,0.3
951,chlornitrofen,Cereal,-2.0
952,chlornitrofen,Rice,0.01
953,chlornitrofen,Wheats,0.01
954,chlornitrofen,Upland crops,0.01
955,chlornitrofen,Coarse cereals,0.01
956,chlornitrofen,Processed grains,0.01
957,thiosultap-disodium,Cereal,-2.0
958,thiosultap-disodium,Rice,1.0
959,thiosultap-disodium,Wheat,0.2
960,thiosultap-disodium,Corn,0.5
961,thiosultap-disodium,Fresh corn,0.5
962,thiosultap-disodium,Rice,0.2
963,thiosultap-disodium,Brown rice,1.0
964,mesotrione,Cereal,-2.0
965,mesotrione,Rice,0.05
966,mesotrione,Oat,0.01
967,mesotrione,Corn,0.01
968,mesotrione,Sorghum,0.01
969,mesotrione,Millet,0.01
970,mesotrione,Brown rice,0.05
971,fluoronitrofen,Cereal,-2.0
972,fluoronitrofen,Rice,0.01
973,fluoronitrofen,Wheats,0.01
974,fluoronitrofen,Upland crops,0.01
975,fluoronitrofen,Coarse cereals,0.01
976,fluoronitrofen,Processed grains,0.01
977,polyoxins,Cereal,-2.0
978,polyoxins,Wheat,0.5
979,zinc thiazole,Cereal,-2.0
980,zinc thiazole,Rice,0.2
981,zinc thiazole,Brown rice,0.2
982,famoxadone,Cereal,-2.0
983,famoxadone,Wheat,0.1
984,famoxadone,Barley,0.2
985,fluoroglycofen-ethyl,Cereal,-2.0
986,fluoroglycofen-ethyl,Wheat,0.05
987,cypermethrin and beta-cypermethrin,Cereal,-2.0
988,cypermethrin and beta-cypermethrin,Cereal (with the exception of the seperately listed),0.3
989,cypermethrin and beta-cypermethrin,Rice,2.0
990,cypermethrin and beta-cypermethrin,Wheat,0.2
991,cypermethrin and beta-cypermethrin,Barley,2.0
992,cypermethrin and beta-cypermethrin,Oat,2.0
993,cypermethrin and beta-cypermethrin,Rye,2.0
994,cypermethrin and beta-cypermethrin,Corn,0.05
995,cypermethrin and beta-cypermethrin,Fresh corn,0.5
996,cypermethrin and beta-cypermethrin,Coarse cereals (with exception of Adzuki),0.05
997,cypermethrin and beta-cypermethrin,Adzuki,0.2
998,metrafenone,Cereal,-2.0
999,metrafenone,Wheat,0.06
1000,metrafenone,Barley,0.5
1001,metrafenone,Oat,0.5
1002,metrafenone,Rye,0.06
1003,metrafenone,Triticale,0.06
1004,metrafenone,Whole wheats flour,0.08
1005,cycloxydim,Cereal,-2.0
1006,cycloxydim,Rice,0.09
1007,cycloxydim,Corn,0.2
1008,profenofos,Cereal,-2.0
1009,profenofos,Brown rice,0.02
1010,hymexazol,Cereal,-2.0
1011,hymexazol,Pea,0.5
1012,hymexazol,Broad bean,3.0
1013,hymexazol,Brown rice,0.1
1014,spirodiclofen,Cereal,-2.0
1015,spirodiclofen,Mung bean,0.2
1016,azoxystrobin,Cereal,-2.0
1017,azoxystrobin,Rice,1.0
1018,azoxystrobin,Wheat,0.5
1019,azoxystrobin,Barley,1.5
1020,azoxystrobin,Oat,1.5
1021,azoxystrobin,Rye,0.2
1022,azoxystrobin,Triticale,0.2
1023,azoxystrobin,Corn,0.02
1024,azoxystrobin,Sorghum,1.0
1025,azoxystrobin,Brown rice,0.5
1026,"2,4-dichlorophenyl benzenesulfonate",Cereal,-2.0
1027,"2,4-dichlorophenyl benzenesulfonate",Rice,0.01
1028,"2,4-dichlorophenyl benzenesulfonate",Wheats,0.01
1029,"2,4-dichlorophenyl benzenesulfonate",Upland crops,0.01
1030,"2,4-dichlorophenyl benzenesulfonate",Coarse cereals,0.01
1031,"2,4-dichlorophenyl benzenesulfonate",Processed grains,0.01
1032,dichlorvos,Cereal,-2.0
1033,dichlorvos,Rice,0.1
1034,dichlorvos,Wheats,0.1
1035,dichlorvos,Upland crops,0.1
1036,dichlorvos,Corn,0.2
1037,dichlorvos,Coarse cereals,0.1
1038,dichlorvos,Brown rice,0.2
1039,phosphamidon,Cereal,-2.0
1040,phosphamidon,Rice,0.02
1041,benfuracarb,Cereal,-2.0
1042,benfuracarb,Corn,0.05
1043,benfuracarb,Fresh corn,0.05
1044,benfuracarb,Rice,0.2
1045,benfuracarb,Brown rice,0.2
1046,flurtamone,Cereal,-2.0
1047,flurtamone,Wheat,0.05
1048,iprodione,Cereal,-2.0
1049,iprodione,Barley,2.0
1050,iprodione,Coarse cereals,0.1
1051,iprodione,Brown rice,10.0
1052,isoxaflutole,Cereal,-2.0
1053,isoxaflutole,Corn,0.02
1054,isoxaflutole,Fresh corn,0.02
1055,isoxaflutole,Chickpeas,0.01
1056,triclopyr,Cereal,-2.0
1057,triclopyr,Rice,0.05
1058,triclopyr,Brown rice,0.05
1059,chlorthal-dimethyl,Cereal,-2.0
1060,chlorthal-dimethyl,Rice,0.01
1061,chlorthal-dimethyl,Wheats,0.01
1062,chlorthal-dimethyl,Upland crops,0.01
1063,chlorthal-dimethyl,Coarse cereals,0.01
1064,chlorthal-dimethyl,Processed grains,0.01
1065,fluroxypyr and fluroxypyr-meptyl,Cereal,-2.0
1066,fluroxypyr and fluroxypyr-meptyl,Rice,0.2
1067,fluroxypyr and fluroxypyr-meptyl,Wheat,0.2
1068,fluroxypyr and fluroxypyr-meptyl,Corn,0.5
1069,fluroxypyr and fluroxypyr-meptyl,Sorghum,0.5
1070,haloxyfop-methyl and haloxyfop-P-methyl,Cereal,-2.0
1071,haloxyfop-methyl and haloxyfop-P-methyl,Coarse cereals,3.0
1072,haloxyfop-methyl and haloxyfop-P-methyl,Pea,0.2
1073,haloxyfop-methyl and haloxyfop-P-methyl,Chickpeas,0.05
1074,uniconazole,Cereal,-2.0
1075,uniconazole,Wheat,0.05
1076,uniconazole,Brown rice,0.1
1077,tetraconazole,Cereal,-2.0
1078,tetraconazole,Rice,3.0
1079,tetraconazole,Brown rice,0.1
1080,jiangangmycin,Cereal,-2.0
1081,jiangangmycin,Rice,0.5
1082,jiangangmycin,Wheat,0.5
1083,jiangangmycin,Brown rice,0.5
1084,hexaconazole,Cereal,-2.0
1085,hexaconazole,Wheat,0.1
1086,hexaconazole,Brown rice,0.1
1087,xinjunan acetate,Cereal,-2.0
1088,xinjunan acetate,Rice,0.3
1089,xinjunan acetate,Brown rice,0.05
1090,carfentrazone-ethyl,Cereal,-2.0
1091,carfentrazone-ethyl,Wheat,0.1
1092,carfentrazone-ethyl,Brown rice,0.1
1093,cyfluthrin and beta-cyfluthrin,Cereal,-2.0
1094,cyfluthrin and beta-cyfluthrin,Wheat,0.5
1095,cyfluthrin and beta-cyfluthrin,Corn,0.05
1096,cyfluthrin and beta-cyfluthrin,Fresh corn,0.05
1097,cyfluthrin and beta-cyfluthrin,Sorghum,0.2
1098,aldicarb,Cereal,-2.0
1099,aldicarb,Wheat,0.02
1100,aldicarb,Barley,0.02
1101,aldicarb,Corn,0.05
1102,pyribenzoxim,Cereal,-2.0
1103,pyribenzoxim,Rice,0.05
1104,pyribenzoxim,Brown rice,0.05
1105,chlorfenvinphos,Cereal,-2.0
1106,chlorfenvinphos,Rice,0.01
1107,chlorfenvinphos,Wheats,0.01
1108,chlorfenvinphos,Upland crops,0.01
1109,chlorfenvinphos,Coarse cereals,0.01
1110,chlorfenvinphos,Processed grains,0.01
1111,monocrotophos,Cereal,-2.0
1112,monocrotophos,Rice,0.02
1113,monocrotophos,Wheats,0.02
1114,monocrotophos,Coarse cereals,0.02
1115,"2,4-D butylate",Cereal,-2.0
1116,"2,4-D butylate",Wheat,0.05
1117,"2,4-D butylate",Corn,0.05
1118,crotoxyphos,Cereal,-2.0
1119,crotoxyphos,Rice,0.02
1120,crotoxyphos,Wheats,0.02
1121,crotoxyphos,Upland crops,0.02
1122,crotoxyphos,Coarse cereals,0.02
1123,crotoxyphos,Processed grains,0.02
1124,foramsulfuron,Cereal,-2.0
1125,foramsulfuron,Corn,0.01
1126,foramsulfuron,Fresh corn,0.01
1127,topramezone,Cereal,-2.0
1128,topramezone,Corn,0.05
1129,topramezone,Fresh corn,0.05
1130,quinalphos,Cereal,-2.0
1131,quinalphos,Rice,2.0
1132,quinalphos,Rice,0.2
1133,quinalphos,Brown rice,1.0
1134,butralin,Cereal,-2.0
1135,butralin,Rice,0.05
1136,butralin,Brown rice,0.05
1137,halosulfuron-methyl,Cereal,-2.0
1138,halosulfuron-methyl,Rice,0.01
1139,halosulfuron-methyl,Wheat,0.02
1140,halosulfuron-methyl,Corn,0.05
1141,halosulfuron-methyl,Sorghum,0.02
1142,halosulfuron-methyl,Brown rice,0.01
1143,isoprothiolane,Cereal,-2.0
1144,isoprothiolane,Corn,0.05
1145,isoprothiolane,Fresh corn,0.05
1146,isoprothiolane,Rice,1.0
1147,amobam,Cereal,-2.0
1148,amobam,Rice,2.0
1149,amobam,Corn,0.1
1150,amobam,Fresh corn,1.0
1151,amobam,Brown rice,1.0
1152,tetrachlorantraniliprole,Cereal,-2.0
1153,tetrachlorantraniliprole,Rice,5.0
1154,tetrachlorantraniliprole,Corn,0.05
1155,tetrachlorantraniliprole,Fresh corn,0.05
1156,tetrachlorantraniliprole,Brown rice,0.5
1157,thiophanate-methyl,Cereal,-2.0
1158,thiophanate-methyl,Wheat,0.5
1159,thiophanate-methyl,Corn,0.5
1160,thiophanate-methyl,Fresh corn,0.5
1161,thiophanate-methyl,Brown rice,1.0
1162,iodosulfuron-methyl-sodium,Cereal,-2.0
1163,iodosulfuron-methyl-sodium,Wheat,0.02
1164,iodosulfuron-methyl-sodium,Corn,0.05
1165,iodosulfuron-methyl-sodium,Fresh corn,0.05
1166,cyanazine,Cereal,-2.0
1167,cyanazine,Corn,0.05
1168,spiromesifen,Cereal,-2.0
1169,spiromesifen,Corn,0.02
1170,spiromesifen,Fresh corn,0.02
1171,etofenprox,Cereal,-2.0
